Cycle,Date,Time,Device
1,09/05/2025,08:53:07,13
1,09/05/2025,08:53:13,13
1,09/05/2025,08:53:40,8
1,09/05/2025,08:53:46,6
1,09/05/2025,08:54:14,6
1,09/05/2025,08:54:20,6
1,09/05/2025,08:54:47,4
1,09/05/2025,08:54:53,7
1,09/05/2025,08:55:20,4
1,09/05/2025,08:55:26,4
1,09/05/2025,08:55:53,2
1,09/05/2025,08:55:59,1
1,09/05/2025,08:56:26,1
1,09/05/2025,08:56:32,0
1,09/05/2025,08:56:59,1
1,09/05/2025,08:57:05,1
1,09/05/2025,08:57:33,9
1,09/05/2025,08:57:38,9
1,09/05/2025,08:58:06,3
1,09/05/2025,08:58:11,4
1,09/05/2025,08:58:39,2
1,09/05/2025,08:58:44,2
1,09/05/2025,08:59:12,2
1,09/05/2025,08:59:17,0
1,09/05/2025,08:59:45,3
1,09/05/2025,08:59:50,3
1,09/05/2025,09:00:18,1
1,09/05/2025,09:00:23,1
1,09/05/2025,09:00:52,1
1,09/05/2025,09:00:56,3
1,09/05/2025,09:01:25,1
1,09/05/2025,09:01:29,1
1,09/05/2025,09:01:58,3
1,09/05/2025,09:02:02,3
1,09/05/2025,09:02:31,1
1,09/05/2025,09:02:35,1
1,09/05/2025,09:03:05,1
1,09/05/2025,09:03:08,1
1,09/05/2025,09:03:38,1
1,09/05/2025,09:03:41,1
1,09/05/2025,09:04:11,4
1,09/05/2025,09:04:14,4
1,09/05/2025,09:04:44,1
1,09/05/2025,09:05:05,2
1,09/05/2025,09:05:18,2
1,09/05/2025,09:05:39,1
1,09/05/2025,09:05:51,0
1,09/05/2025,09:06:12,4
1,09/05/2025,09:06:24,5
1,09/05/2025,09:06:45,2
1,09/05/2025,09:06:57,1
1,09/05/2025,09:07:18,3
1,09/05/2025,09:07:30,2
1,09/05/2025,09:07:51,0
1,09/05/2025,09:08:03,0
1,09/05/2025,09:08:24,2
1,09/05/2025,09:10:03,0
1,09/05/2025,09:10:36,1
1,09/05/2025,09:11:09,2
1,09/05/2025,09:11:42,0
1,09/05/2025,09:12:16,1
1,09/05/2025,09:12:49,3
1,09/05/2025,09:13:23,4
1,09/05/2025,09:13:56,1
1,09/05/2025,09:14:29,3
1,09/05/2025,09:15:03,1
1,09/05/2025,09:15:36,0
1,09/05/2025,09:16:10,2
